"","zip","objectid","shape_area","shape_len","Case.Rate...Cumulative","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","ageOv65","ageOv18","age18_64","a15_24P","und45P","ovr65P","disbP"
"163","60644",18,99092221.5388,40030.8385293,3439.4,2018,47712,4.77,89.95,0.07,0.24,0.13,4.84,6.43,21.48,3623,6959,3070,4065,19426,2840,2899,3149,2615,6201,35376,29175,14.95,62.89,13,18.1
"164","60645",2,62181473.5197,32075.5994211,3029.4,2018,47732,56.9,17.11,0.5,16.35,0,9.14,17.03,16.94,4329,6429,3117,2315,19281,2734,3262,2206,2927,6564,34826,28262,11.38,62.93,13.75,10.7
"165","60646",42,117890054.124,62633.1398208,2111.7,2018,27987,83.26,1.09,0.03,10.35,0,5.27,14.19,6.86,1802,3326,1359,1123,9450,2044,2452,1634,1547,5732,21987,16255,8.87,52.09,20.48,10.5
"166","60647",33,106052287.488,42720.0444058,2610,2018,87509,76.74,6.55,0.35,3.18,0.04,13.16,44.83,12.02,5924,7914,3916,6794,51439,5425,3927,3773,2883,6224,71211,64987,12.24,74.59,7.11,5.9
"167","60649",11,80526076.0889,55092.8632931,2509.6,2018,46024,4.05,92.9,0.23,0.42,0,2.4,2.57,10.47,3215,5580,2551,3273,18519,3051,2775,2931,3383,6570,35531,28961,12.65,59.35,14.28,14.3
"168","60651",37,99039621.2518,47970.1401531,4027.3,2018,63218,16.69,52.06,0.27,0.48,0,30.49,42.49,24.52,4780,9228,4815,5255,27618,3719,3906,3485,3262,7220,45889,38669,15.93,65.85,11.42,14.7
"169","60652",40,128309832.185,48187.9498796,3787.6,2018,43907,27.21,47.14,0.2,0.9,0.03,24.52,39.81,15.22,2769,7135,3066,3463,17610,3219,2960,3105,2369,4740,32228,27488,14.87,62.66,10.8,8.4
"170","60653",21,67759827.8103,34316.3615428,2430.3,2018,31972,5.22,91,0.29,1.34,0,2.15,2.16,14.92,2632,4990,1975,1811,12889,2200,1486,1883,1770,4122,23060,18938,11.84,64.15,12.89,17.8
"171","60654",55,15869961.3469,17119.6988775,1876.1,2018,19135,77.7,5.44,0.28,12.58,0,4.01,5.21,1.18,1164,423,81,1163,12429,1021,1352,865,754,1127,17524,16397,6.5,73.25,5.89,4.4
"172","60655",49,115380139.149,77392.3226132,2322.6,2018,28804,89.48,6.86,0,1.46,0,2.2,8.3,3.93,2026,3838,2010,1520,11101,1687,2144,2222,2055,3731,21789,18058,12.26,58.9,12.95,8.7
"173","60656",47,89515884.463,84430.9732159,2240.8,2018,27579,84.04,1.24,0.05,7.4,0.04,7.22,12.26,9.17,1697,2576,946,1207,11114,1807,1795,2010,1943,4637,22632,17995,7.81,55.79,16.81,10.9
"174","60657",7,63547755.9216,45646.4880277,1401.8,2018,70052,86.18,2.61,0.12,6.98,0.05,4.06,7,1.61,3808,4018,907,8056,45015,3581,3091,2555,2366,5618,61614,55996,12.79,75.43,8.02,5.2
"175","60659",50,69698411.4356,38931.5266612,2724.7,2018,41068,53.73,10.11,0.78,26.6,0.04,8.73,19.19,18.02,2847,5859,2327,3066,17701,2559,2333,3039,2127,4603,30914,26311,13.13,64.3,11.21,10.7
"176","60660",3,37984388.8422,27307.8138361,1778.4,2018,43242,65.53,14.35,0.29,13.03,0.02,6.77,17.87,10.54,1891,2448,2469,3289,22266,2821,2962,2513,2600,5741,38197,32456,13.32,61.53,13.28,12.3
"177","60661",30,9357755.68017,13132.5654896,1531.3,2018,9926,57.29,3.6,0,35.79,0,3.31,6.45,0.58,447,150,160,1032,7897,417,322,301,175,217,9243,9026,12.01,85.57,2.19,2.3
"178","60707",35,45069038.4783,27288.6096123,1355.2,2018,43019,72.58,8.04,0.49,3.91,0,14.98,38.37,15.53,2292,5338,2586,2922,17045,2932,3027,2979,2661,6745,33734,26989,12.8,57.36,15.68,11.3
"179","60707",51,3450671.14336,7909.89040711,1355.2,2018,43019,72.58,8.04,0.49,3.91,0,14.98,38.37,15.53,2292,5338,2586,2922,17045,2932,3027,2979,2661,6745,33734,26989,12.8,57.36,15.68,11.3
"180","60827",44,48551330.3923,28833.9637574,384.9,2018,28577,5.06,91.83,0.09,0.16,0,2.86,4.28,13.52,2591,4411,2039,2093,11727,1810,1697,1872,1706,2763,20232,17469,14.46,65.54,9.67,11.4
"181","60601",27,9166245.79985,19804.5821088,1451.4,2018,14675,74.17,5.57,0.45,18,0,1.81,8.68,0,550,156,907,909,8726,976,1009,324,859,2075,13855,11780,12.37,64.27,14.14,6.4
"182","60602",26,4847124.8171,14448.1749926,1688.1,2018,1244,68.17,3.78,5.31,19.45,0,3.3,6.51,0,61,87,18,91,987,46,53,0,5,5,1095,1090,8.76,91.24,0.4,0.2
"183","60603",19,4560228.98203,13672.6822885,1107.3,2018,1174,63.46,3.24,0,27.6,0,5.71,9.8,0,13,43,179,172,684,75,47,150,50,112,1118,1006,29.9,63.03,9.54,7.3
"184","60604",48,4294901.99439,12245.8084015,3964.2,2018,782,63.43,5.63,0,29.67,0,1.28,4.35,0,12,7,52,168,450,27,47,54,92,93,744,651,28.13,59.97,11.89,4.1
"185","60605",20,36301276.3485,37973.3461051,1420.8,2018,27519,61.2,17.18,0.18,16.1,0.03,5.31,5.84,2.39,837,1279,2172,2282,16364,1766,1520,1824,1360,2569,25259,22690,16.19,67.15,9.34,5.3
"186","60606",31,6766410.89809,12040.4402354,2289.6,2018,3101,72.75,2.35,0,18.09,0,6.8,6.29,0.73,57,44,0,139,1863,213,153,168,172,431,3000,2569,4.48,63.33,13.9,1.9
